company_name,tax_code,vsic_4digit,vsic_division,address,province,founded_year,source_url,listing_url,retrieved_at
CÔNG TY TNHH ĐÚC TRƯỜNG GIANG,3700581820,2511,25,"Lô B2 -35, Đường số 2, Khu công nghiệp Tân Đông Hiệp B, Phường Tân Đông Hiệp, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,,https://www.masothue.com/3700581820-cong-ty-tnhh-duc-truong-giang,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CÔNG TY CỔ PHẦN KỸ NGHỆ MIỀN NAM - ĐỊA ĐIỂM KINH DOANH KHU CÔNG NGHIỆP ĐẤT CUỐC,3700645288-003,2511,25,"Lô B6, Ô 3-4, đường D2, khu công nghiệp Đất Cuốc, Xã Đất Cuốc, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",Bình Dương,,https://www.masothue.com/3700645288-003-cong-ty-co-phan-ky-nghe-mien-nam-dia-diem-kinh-doanh-khu-cong-nghiep-dat-cuoc,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511,2026-08-24T09:02:39Z
CÔNG TY TNHH KẾT CẤU THÉP TOÀN CẦU VINA - JAPAN,3700871583,2511,25,"Số 26 VSIP II Đường số 7, Khu công nghiệp Việt Nam - Singapore II, Khu liên hợp Công nghiệp - Dịch vụ - Đô thị Bình Dương, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Bình Dương,,https://www.masothue.com/3700871583-cong-ty-tnhh-ke-t-ca-u-the-p-toa-n-ca-u-vina-japan,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CHI NHÁNH CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ NGỌC NAM,3701511921-001,2511,25,"454 Lê Văn Lương, ấp 3, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,,https://www.masothue.com/3701511921-001-chi-nhanh-cong-ty-tnhh-xay-dung-thuong-mai-dich-vu-ngoc-nam,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ CƠ KHÍ TÚ NHI,3701780071,2511,25,"8/51 ấp Bình Đường 1, Xã An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Bình Dương,,https://www.masothue.com/3701780071-cong-ty-tnhh-mot-thanh-vien-san-xuat-thuong-mai-dich-vu-co-khi-tu-nhi,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511,2026-08-24T09:02:39Z
CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG- THƯƠNG MẠI- DỊCH VỤ PHÚC HOÀNG VŨ,3701919446,2511,25,"80/23 tổ 23, khu phố 3, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Bình Dương,,https://www.masothue.com/3701919446-cong-ty-tnhh-mot-thanh-vien-xay-dung-thuong-mai-dich-vu-phuc-hoang-vu,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ ĐỨC THÀNH DANH,3702393597,2511,25,"Số 84, đường D11, khu dân cư Biconsi, khu phố Tân Thắng, Phường Tân Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Bình Dương,,https://www.masothue.com/3702393597-cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-duc-thanh-danh,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511,2026-08-24T09:02:39Z
CÔNG TY TNHH MỘT THÀNH VIÊN KIM PHÚ QUÝ,3801053087,2511,25,"Số 831, đường Phú Riềng Đỏ, khu phố Tân Trà 1, Phường Bình Phước, Tỉnh Đồng Nai, Việt Nam",Đồng Nai,,https://www.masothue.com/3801053087-cong-ty-tnhh-mot-thanh-vien-kim-phu-quy,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511,2026-08-24T09:02:39Z
CÔNG TY TRÁCH NHIỆM HỮU HẠN LÊ QUỐC THẮNG,3900300756,2511,25,"Số 1/2, khu phố 4, Thị Trấn Hòa Thành, Thị xã Hoà Thành, Tỉnh Tây Ninh, Việt Nam",Tây Ninh,,https://www.masothue.com/3900300756-cong-ty-trach-nhiem-huu-han-le-quoc-thang,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH MTV XÂY DỰNG THIẾT KẾ VÀ DỊCH VỤ CƠ KHÍ TÂN TIẾN,3901394411,2511,25,"378 Tổ 4, Ấp Hội An, Xã Tân Hội, Tỉnh Tây Ninh, Việt Nam",Tây Ninh,,https://www.masothue.com/3901394411-cong-ty-tnhh-mtv-xay-dung-thiet-ke-va-dich-vu-co-khi-tan-tien,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=2,2026-08-24T09:02:41Z
CÔNG TY TNHH MAKITECH ĐÀ NẴNG,4001034104,2511,25,"Lô 18, KCN Điện Nam - Điện Ngọc, Phường Điện Nam Bắc, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam",Quảng Nam,,https://www.masothue.com/4001034104-cong-ty-tnhh-makitech-da-nang,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=5,2026-08-24T09:02:45Z
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI MINH MINH PHÚ,4001120508,2511,25,"Khối phố Tân Phú, Thị Trấn Phú Thịnh, Huyện Phú Ninh, Tỉnh Quảng Nam, Việt Nam",Quảng Nam,,https://www.masothue.com/4001120508-cong-ty-tnhh-san-xuat-thuong-mai-minh-minh-phu,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT CÔNG THÀNH TẠI SÀI GÒN,4200653927-010,2511,25,"164 Lê Văn Khương, Khu phố 6, Phường Thới An, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,,https://www.masothue.com/4200653927-010-chi-nhanh-cong-ty-tnhh-thuong-mai-va-san-xuat-cong-thanh-tai-sai-gon,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH HWA - I VINA,4201606599,2511,25,"Khối nhà văn phòng của Công ty TNHH Nhà máy tàu biển Hyundai Vinashin tại số 01 thôn Mỹ Giang, Xã Ninh Phước, Thị xã Ninh Hoà, Tỉnh Khánh Hòa, Việt Nam",Khánh Hòa,,https://www.masothue.com/4201606599-cong-ty-tnhh-hwa-i-vina,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
